line,band_idx,svg_x,mile_from_terminal,abs_mile,carrier,score,has_reception
1,0,184,2.922,1.986,tmobile,0.0,False
1,0,184,2.922,1.986,verizon,0.0,False
1,0,184,2.922,1.986,sprint,0.0,False
1,0,189,3.026,2.09,att,0.0,False
1,0,189,3.026,2.09,tmobile,0.0,False
1,0,189,3.026,2.09,verizon,0.0,False
1,0,189,3.026,2.09,sprint,0.0,False
1,0,194,3.13,2.195,att,0.0,False
1,0,194,3.13,2.195,tmobile,0.0,False
1,0,194,3.13,2.195,verizon,0.0,False
1,0,194,3.13,2.195,sprint,0.0,False
1,0,199,3.235,2.299,att,0.0,False
1,0,199,3.235,2.299,tmobile,0.0385,True
1,0,199,3.235,2.299,verizon,0.0,False
1,0,199,3.235,2.299,sprint,0.0,False
1,0,204,3.339,2.403,att,0.0385,True
1,0,204,3.339,2.403,tmobile,0.0769,True
1,0,204,3.339,2.403,verizon,0.0,False
1,0,204,3.339,2.403,sprint,0.0,False
1,0,209,3.443,2.508,att,0.0,False
1,0,209,3.443,2.508,tmobile,0.0385,True
1,0,209,3.443,2.508,verizon,0.0,False
1,0,209,3.443,2.508,sprint,0.0,False
1,0,214,3.548,2.612,att,0.0,False
1,0,214,3.548,2.612,tmobile,0.0,False
1,0,214,3.548,2.612,verizon,0.0,False
1,0,214,3.548,2.612,sprint,0.0,False
1,0,219,3.652,2.716,att,0.0,False
1,0,219,3.652,2.716,tmobile,0.0,False
1,0,219,3.652,2.716,verizon,0.0,False
1,0,219,3.652,2.716,sprint,0.0,False
1,0,224,3.756,2.821,att,0.0,False
1,0,224,3.756,2.821,tmobile,0.0385,True
1,0,224,3.756,2.821,verizon,0.0,False
1,0,224,3.756,2.821,sprint,0.0,False
1,0,229,3.861,2.925,att,0.0,False
1,0,229,3.861,2.925,tmobile,0.0,False
1,0,229,3.861,2.925,verizon,0.0,False
1,0,229,3.861,2.925,sprint,0.0385,True
1,0,234,3.965,3.029,att,0.0,False
1,0,234,3.965,3.029,tmobile,0.0,False
1,0,234,3.965,3.029,verizon,0.0385,True
1,0,234,3.965,3.029,sprint,0.0,False
1,0,239,4.069,3.134,att,0.0,False
1,0,239,4.069,3.134,tmobile,0.0,False
1,0,239,4.069,3.134,verizon,0.0,False
1,0,239,4.069,3.134,sprint,0.0,False
1,0,244,4.174,3.238,att,0.0,False
1,0,244,4.174,3.238,tmobile,0.0,False
1,0,244,4.174,3.238,verizon,0.0,False
1,0,244,4.174,3.238,sprint,0.0,False
1,0,249,4.278,3.342,att,0.0,False
1,0,249,4.278,3.342,tmobile,0.0,False
1,0,249,4.278,3.342,verizon,0.0,False
1,0,249,4.278,3.342,sprint,0.0,False
1,0,254,4.382,3.447,att,0.0,False
1,0,254,4.382,3.447,tmobile,0.0,False
1,0,254,4.382,3.447,verizon,0.0,False
1,0,254,4.382,3.447,sprint,0.0,False
1,0,259,4.487,3.551,att,0.0,False
1,0,259,4.487,3.551,tmobile,0.0,False
1,0,259,4.487,3.551,verizon,0.0,False
1,0,259,4.487,3.551,sprint,0.0,False
1,0,264,4.591,3.655,att,0.0,False
1,0,264,4.591,3.655,tmobile,0.0,False
1,0,264,4.591,3.655,verizon,0.0,False
1,0,264,4.591,3.655,sprint,0.0,False
1,0,269,4.695,3.76,att,0.0,False
1,0,269,4.695,3.76,tmobile,0.0,False
1,0,269,4.695,3.76,verizon,0.0,False
1,0,269,4.695,3.76,sprint,0.0,False
1,0,274,4.8,3.864,att,0.0,False
1,0,274,4.8,3.864,tmobile,0.0,False
1,0,274,4.8,3.864,verizon,0.0,False
1,0,274,4.8,3.864,sprint,0.0,False
1,0,279,4.904,3.968,att,0.0,False
