bbl,address,pano_id,pano_date,pano_year,pano_lat,pano_lon,lot_lat,lot_lon,heading_deg,cam_to_lot_ft
1003060032,73 ELDRIDGE STREET,2hTs2iU5z_3uDRfwU0P6tA,2012-07,2012.0,40.71657143773,-73.99311132208847,40.716906599999994,-73.9928935,26.22,118.3
1003060032,73 ELDRIDGE STREET,-mRC1gAZF9Cr9sCdTb181Q,2009-04,2009.0,40.7165846980912,-73.99310961836922,40.716906599999994,-73.9928935,26.97,118.3
1003060032,73 ELDRIDGE STREET,nhJtNskZJsuCSJYBtABfFw,2007-09,2007.0,40.71657628639965,-73.9931242344864,40.716906599999994,-73.9928935,27.9,118.3
1003060037,111 HESTER STREET,ZZ9SRRTvWh_K32EGxYq6_g,2026-04,2026.0,40.71657318055109,-73.99311616423779,40.71668430000001,-73.993027,31.31,29.36
1003060037,111 HESTER STREET,Ds0jPxG19ImEq6a6XKjiYA,2023-04,2023.0,40.71658540269466,-73.9931560671304,40.71668430000001,-73.993027,44.69,29.36
1003060037,111 HESTER STREET,Rqrnl-kxHJHOkCt1WEdEMw,2022-07,2022.0,40.71657068342755,-73.99311132208847,40.71668430000001,-73.993027,29.36,29.36
1003060037,111 HESTER STREET,Qgm3MeBzXvoTV1MUHb5Ndw,2019-06,2019.0,40.7165718772029,-73.99311867498183,40.71668430000001,-73.993027,31.72,29.36
1003060037,111 HESTER STREET,4L2rRLHy9jOmer_G75oEXQ,2018-07,2018.0,40.71657186135202,-73.99310899068318,40.71668430000001,-73.993027,28.93,29.36
1003060037,111 HESTER STREET,xZpHR65dWCX3ChFfTNYEmQ,2017-11,2017.0,40.71657881786083,-73.99315005927967,40.71668430000001,-73.993027,41.48,29.36
1003060037,111 HESTER STREET,rnsTtCI_9eyz1YI5r8mRig,2014-09,2014.0,40.71657938187414,-73.99315669481628,40.71668430000001,-73.993027,43.14,29.36
1003060037,111 HESTER STREET,uXHIgeZ0JkXKBX14j8yYPg,2013-08,2013.0,40.71657213861674,-73.99312477250295,40.71668430000001,-73.993027,33.45,29.36
1003060037,111 HESTER STREET,2hTs2iU5z_3uDRfwU0P6tA,2012-07,2012.0,40.71657143773,-73.99311132208847,40.71668430000001,-73.993027,29.52,29.36
1003060037,111 HESTER STREET,-mRC1gAZF9Cr9sCdTb181Q,2009-04,2009.0,40.7165846980912,-73.99310961836922,40.71668430000001,-73.993027,32.16,29.36
1003060037,111 HESTER STREET,nhJtNskZJsuCSJYBtABfFw,2007-09,2007.0,40.71657628639965,-73.9931242344864,40.71668430000001,-73.993027,34.31,29.36
1003060038,113 HESTER STREET,ZZ9SRRTvWh_K32EGxYq6_g,2026-04,2026.0,40.71657318055109,-73.99311616423779,40.71673920000001,-73.9930919,6.32,41.26
1003060038,113 HESTER STREET,Ds0jPxG19ImEq6a6XKjiYA,2023-04,2023.0,40.71658540269466,-73.9931560671304,40.71673920000001,-73.9930919,17.55,41.26
1003060038,113 HESTER STREET,Rqrnl-kxHJHOkCt1WEdEMw,2022-07,2022.0,40.71657068342755,-73.99311132208847,40.71673920000001,-73.9930919,4.99,41.26
1003060038,113 HESTER STREET,Qgm3MeBzXvoTV1MUHb5Ndw,2019-06,2019.0,40.7165718772029,-73.99311867498183,40.71673920000001,-73.9930919,6.92,41.26
